Epoch 1, loss 4.19, acc 0.24 0.3103, time 3.71
Epoch 2, loss 3.08, acc 0.31 0.4759, time 4.48
Epoch 3, loss 2.48, acc 0.39 0.5594, time 3.61
Epoch 4, loss 2.32, acc 0.44 0.6084, time 3.68
Epoch 5, loss 2.10, acc 0.46 0.6448, time 3.68
Epoch 6, loss 1.77, acc 0.56 0.6640, time 3.92
Epoch 7, loss 1.59, acc 0.63 0.6831, time 4.61
Epoch 8, loss 1.73, acc 0.51 0.6975, time 4.69
Epoch 9, loss 1.71, acc 0.53 0.7059, time 4.71
Epoch 10, loss 1.38, acc 0.58 0.7162, time 4.48
Epoch 11, loss 1.36, acc 0.62 0.7284, time 4.61
Epoch 12, loss 1.37, acc 0.66 0.7376, time 4.68
Epoch 13, loss 1.40, acc 0.62 0.7427, time 4.61
Epoch 14, loss 1.20, acc 0.73 0.7479, time 4.57
Epoch 15, loss 1.35, acc 0.62 0.7505, time 4.73
Epoch 16, loss 1.15, acc 0.67 0.7523, time 4.73
Epoch 17, loss 1.31, acc 0.62 0.7571, time 4.66
Epoch 18, loss 1.32, acc 0.62 0.7586, time 4.70
Epoch 19, loss 1.11, acc 0.69 0.7597, time 4.54
Epoch 20, loss 1.08, acc 0.69 0.7681, time 4.85
Epoch 21, loss 1.16, acc 0.69 0.7685, time 4.67
Epoch 22, loss 1.06, acc 0.65 0.7707, time 4.64
Epoch 23, loss 1.16, acc 0.64 0.7703, time 4.60
Epoch 24, loss 0.93, acc 0.70 0.7692, time 4.54
Epoch 25, loss 1.00, acc 0.73 0.7725, time 4.65
Epoch 26, loss 0.96, acc 0.74 0.7729, time 4.58
Epoch 27, loss 1.15, acc 0.72 0.7770, time 4.79
Epoch 28, loss 0.93, acc 0.80 0.7810, time 4.57
Epoch 29, loss 0.92, acc 0.73 0.7777, time 4.83
Epoch 30, loss 0.96, acc 0.71 0.7795, time 4.51
Epoch 31, loss 0.85, acc 0.80 0.7814, time 4.46
Epoch 32, loss 0.79, acc 0.78 0.7806, time 4.52
Epoch 33, loss 0.85, acc 0.78 0.7825, time 4.48
Epoch 34, loss 0.93, acc 0.74 0.7832, time 4.79
Epoch 35, loss 0.81, acc 0.79 0.7843, time 4.67
Epoch 36, loss 0.93, acc 0.79 0.7836, time 4.78
Epoch 37, loss 0.79, acc 0.80 0.7825, time 4.46
Epoch 38, loss 0.83, acc 0.82 0.7851, time 4.40
Epoch 39, loss 0.87, acc 0.76 0.7851, time 4.72
Epoch 40, loss 0.77, acc 0.79 0.7876, time 4.43
Epoch 41, loss 0.71, acc 0.81 0.7869, time 4.68
Epoch 42, loss 0.90, acc 0.77 0.7880, time 4.39
Epoch 43, loss 0.86, acc 0.78 0.7862, time 4.76
Epoch 44, loss 0.92, acc 0.74 0.7862, time 4.56
Epoch 45, loss 0.80, acc 0.80 0.7909, time 4.59
Epoch 46, loss 0.63, acc 0.88 0.7887, time 4.76
Epoch 47, loss 0.71, acc 0.84 0.7865, time 4.43
Epoch 48, loss 0.86, acc 0.77 0.7898, time 4.53
Epoch 49, loss 0.76, acc 0.81 0.7884, time 4.46
Epoch 50, loss 0.78, acc 0.81 0.7876, time 4.60
Epoch 51, loss 0.76, acc 0.79 0.7898, time 4.41
Epoch 52, loss 0.59, acc 0.86 0.7917, time 4.40
Epoch 53, loss 0.79, acc 0.77 0.7924, time 4.65
Epoch 54, loss 0.63, acc 0.84 0.7884, time 4.62
Epoch 55, loss 0.70, acc 0.81 0.7906, time 4.43
Epoch 56, loss 0.59, acc 0.84 0.7898, time 4.51
Epoch 57, loss 0.71, acc 0.81 0.7954, time 4.53
Epoch 58, loss 0.65, acc 0.86 0.7943, time 4.69
Epoch 59, loss 0.77, acc 0.82 0.7913, time 4.53
Epoch 60, loss 0.56, acc 0.88 0.7921, time 4.37
Epoch 61, loss 0.47, acc 0.91 0.7887, time 4.65
Epoch 62, loss 0.57, acc 0.85 0.7913, time 4.56
Epoch 63, loss 0.67, acc 0.80 0.7913, time 4.50
Epoch 64, loss 0.44, acc 0.92 0.7935, time 4.59
Epoch 65, loss 0.63, acc 0.85 0.7935, time 4.53
Epoch 66, loss 0.64, acc 0.86 0.7924, time 4.54
Epoch 67, loss 0.58, acc 0.88 0.7932, time 4.64
Epoch 68, loss 0.54, acc 0.86 0.7954, time 4.51
Epoch 69, loss 0.55, acc 0.86 0.7968, time 4.42
Epoch 70, loss 0.57, acc 0.86 0.7954, time 4.60
Epoch 71, loss 0.52, acc 0.90 0.7917, time 4.54
Epoch 72, loss 0.58, acc 0.88 0.7957, time 4.62
Epoch 73, loss 0.65, acc 0.83 0.7935, time 4.64
Epoch 74, loss 0.55, acc 0.91 0.7928, time 4.46
Epoch 75, loss 0.51, acc 0.92 0.7943, time 4.37
Epoch 76, loss 0.63, acc 0.85 0.7921, time 4.67
Epoch 77, loss 0.62, acc 0.84 0.7972, time 4.44
Epoch 78, loss 0.51, acc 0.88 0.7965, time 4.61
Epoch 79, loss 0.47, acc 0.91 0.7968, time 4.48
Epoch 80, loss 0.47, acc 0.92 0.7954, time 4.40
Epoch 81, loss 0.58, acc 0.87 0.7943, time 4.48
Epoch 82, loss 0.62, acc 0.84 0.7924, time 4.32
Epoch 83, loss 0.56, acc 0.88 0.7972, time 4.58
Epoch 84, loss 0.56, acc 0.85 0.7924, time 4.36
Epoch 85, loss 0.51, acc 0.88 0.7965, time 4.66
Epoch 86, loss 0.43, acc 0.90 0.7924, time 4.46
Epoch 87, loss 0.47, acc 0.91 0.7961, time 4.52
Epoch 88, loss 0.50, acc 0.88 0.7924, time 4.29
Epoch 89, loss 0.51, acc 0.86 0.7957, time 4.10
Epoch 90, loss 0.43, acc 0.87 0.7946, time 4.54
Epoch 91, loss 0.44, acc 0.91 0.7946, time 4.49
Epoch 92, loss 0.52, acc 0.88 0.7968, time 4.46
Epoch 93, loss 0.55, acc 0.92 0.7983, time 4.66
Epoch 94, loss 0.45, acc 0.93 0.7965, time 4.57
Epoch 95, loss 0.43, acc 0.92 0.7972, time 4.56
Epoch 96, loss 0.54, acc 0.91 0.7943, time 4.52
Epoch 97, loss 0.48, acc 0.87 0.7979, time 4.71
Epoch 98, loss 0.42, acc 0.92 0.7961, time 4.66
Epoch 99, loss 0.47, acc 0.90 0.7965, time 4.68
Epoch 100, loss 0.52, acc 0.90 0.7972, time 4.61
Epoch 101, loss 0.48, acc 0.89 0.8005, time 4.42
Epoch 102, loss 0.51, acc 0.88 0.7976, time 4.61
Epoch 103, loss 0.49, acc 0.90 0.7950, time 4.46
Epoch 104, loss 0.41, acc 0.94 0.7976, time 4.51
Epoch 105, loss 0.43, acc 0.90 0.7972, time 4.51
Epoch 106, loss 0.55, acc 0.87 0.7987, time 4.48
Epoch 107, loss 0.47, acc 0.86 0.7994, time 4.43
Epoch 108, loss 0.44, acc 0.89 0.7921, time 4.65
Epoch 109, loss 0.51, acc 0.87 0.7935, time 4.52
Epoch 110, loss 0.46, acc 0.90 0.7979, time 4.35
Epoch 111, loss 0.40, acc 0.92 0.7998, time 4.36
Epoch 112, loss 0.46, acc 0.91 0.7979, time 4.47
Epoch 113, loss 0.36, acc 0.93 0.8005, time 4.50
Epoch 114, loss 0.43, acc 0.93 0.7972, time 4.47
Epoch 115, loss 0.50, acc 0.85 0.7983, time 4.41
Epoch 116, loss 0.49, acc 0.89 0.7979, time 4.44
Epoch 117, loss 0.43, acc 0.89 0.7990, time 4.39
Epoch 118, loss 0.43, acc 0.92 0.8016, time 4.64
