$ 3cnn + l2_loss
acc 0.7946 f1 83.62

$ mtl + 3cnn + batch_norm + l2_loss

Epoch 1, loss 7.96, acc 0.25 0.3533, time 19.75
Epoch 2, loss 6.43, acc 0.40 0.4917, time 22.19
Epoch 3, loss 5.88, acc 0.27 0.5554, time 20.87
Epoch 4, loss 4.45, acc 0.45 0.6047, time 20.79
Epoch 5, loss 3.83, acc 0.49 0.6264, time 20.97
Epoch 6, loss 3.38, acc 0.51 0.6489, time 21.82
Epoch 7, loss 3.22, acc 0.50 0.6570, time 21.84
Epoch 8, loss 2.86, acc 0.61 0.6691, time 21.78
Epoch 9, loss 2.63, acc 0.64 0.6776, time 21.96
Epoch 10, loss 2.33, acc 0.67 0.7015, time 21.99
Epoch 11, loss 2.33, acc 0.67 0.6986, time 22.62
Epoch 12, loss 2.36, acc 0.63 0.6997, time 21.48
Epoch 13, loss 2.17, acc 0.73 0.7122, time 21.55
Epoch 14, loss 2.03, acc 0.67 0.7206, time 22.36
Epoch 15, loss 1.73, acc 0.79 0.7284, time 22.25
Epoch 16, loss 1.93, acc 0.69 0.7273, time 22.98
Epoch 17, loss 1.82, acc 0.73 0.7350, time 21.55
Epoch 18, loss 1.67, acc 0.78 0.7372, time 22.47
Epoch 19, loss 1.64, acc 0.77 0.7394, time 22.24
Epoch 20, loss 1.75, acc 0.76 0.7471, time 22.96
Epoch 21, loss 1.53, acc 0.79 0.7468, time 22.19
Epoch 22, loss 1.45, acc 0.84 0.7512, time 21.57
Epoch 23, loss 1.37, acc 0.85 0.7593, time 22.33
Epoch 24, loss 1.44, acc 0.79 0.7582, time 22.26
Epoch 25, loss 1.18, acc 0.90 0.7597, time 21.55
Epoch 26, loss 1.07, acc 0.92 0.7659, time 22.19
Epoch 27, loss 1.12, acc 0.90 0.7667, time 22.23
Epoch 28, loss 1.16, acc 0.85 0.7608, time 22.16
Epoch 29, loss 1.20, acc 0.86 0.7652, time 21.56
Epoch 30, loss 1.07, acc 0.86 0.7696, time 21.49
Epoch 31, loss 1.04, acc 0.93 0.7667, time 22.39
Epoch 32, loss 0.99, acc 0.93 0.7714, time 21.50
Epoch 33, loss 1.04, acc 0.89 0.7703, time 22.25
Epoch 34, loss 1.06, acc 0.87 0.7689, time 21.54
Epoch 35, loss 0.79, acc 0.96 0.7718, time 21.52
Epoch 36, loss 0.95, acc 0.94 0.7692, time 22.25
Epoch 37, loss 0.81, acc 0.97 0.7674, time 21.43
Epoch 38, loss 0.94, acc 0.94 0.7744, time 21.56
Epoch 39, loss 0.77, acc 0.97 0.7725, time 22.17
Epoch 40, loss 0.88, acc 0.91 0.7696, time 21.50
Epoch 41, loss 0.83, acc 0.93 0.7718, time 21.44
Epoch 42, loss 0.72, acc 0.97 0.7733, time 21.49
Epoch 43, loss 0.70, acc 0.96 0.7748, time 21.46
Epoch 44, loss 0.71, acc 0.94 0.7703, time 22.18
